10004575,9,10004575,3
10021398,22,10021398,16
10032327,20,10032327,18
10034183,5,10034183,3
10034592,14,10034592,12
10036037,1,10036037,1
10037387,14,10037387,11
10050351,2,10050351,1
10051003,3,10051003,2
10051357,1,10051357,1
10051842,1,10051842,1
10052824,1,10052824,1
10054046,1,10054046,1
10056496,32,10056496,22
10068240,33,10068240,20
10070404,15,10070404,6
10083878,30,10083878,25
10084216,3,10084216,2
10103725,6,10103725,5
10106081,25,10106081,21
10113230,34,10113230,22
10116429,1,10116429,1
10116726,1,10116726,1
10117329,2,10117329,2
10117803,2,10117803,1
10127270,1,10127270,1
10132073,4,10132073,4
10138792,5,10138792,5
10138904,10,10138904,6
10149314,1,10149314,1
10164759,4,10164759,4
10164810,6,10164810,5
10175033,20,10175033,18
10186477,3,10186477,3
10190260,1,10190260,1
10208321,2,10208321,2
10227043,33,10227043,25
10228457,3,10228457,3
10231171,38,10231171,32
10231714,38,10231714,29
10233104,35,10233104,18
10234895,3,10234895,1
10247000,9,10247000,7
10253416,2,10253416,1
10253591,21,10253591,16
10253899,4,10253899,3
10264774,10,10264774,2
10266397,4,10266397,3
10266928,8,10266928,7
10268223,2,10268223,2
10271867,2,10271867,1
10279083,3,10279083,1
10295349,5,10295349,2
10299047,13,10299047,7
1030500,14,1030500,9
10311094,5,10311094,2
10328539,25,10328539,16
10333345,17,10333345,12
10353263,4,10353263,2
10356880,36,10356880,27
10379031,8,10379031,6
10381729,34,10381729,28
1038465,163,1038465,109
10391455,9,10391455,9
10411383,1,10411383,1
1042420,52,1042420,38
10426124,18,10426124,13
10427199,22,10427199,14
10427882,6,10427882,5
10434883,18,10434883,9
10454061,10,10454061,7
10470115,3,10470115,3
10475848,10,10475848,9
10478553,2,10478553,2
10494550,47,10494550,31
1051482,29,1051482,16
10524612,23,10524612,11
10542140,25,10542140,17
10552237,8,10552237,3
10552485,9,10552485,1
10569282,14,10569282,10
10594800,4,10594800,3
1059604,26,1059604,20
10607657,6,10607657,2
10610205,14,10610205,9
10611728,2,10611728,2
10627514,2,10627514,1
10634364,5,10634364,2
10653150,41,10653150,32
10656206,3,10656206,2
10656576,2,10656576,1
10656899,6,10656899,5
1066742,32,1066742,20
1066767,17,1066767,11
10671192,24,10671192,19
1067184,53,1067184,37
10701625,4,10701625,2
10705351,15,10705351,11
10706413,11,10706413,9
1071144,1,1071144,1
1071235,152,1071235,121
10730,21,10730,13
10734159,22,10734159,17
10742655,4,10742655,2
10747524,34,10747524,24
10749312,3,10749312,3
10749794,21,10749794,16
10758,2,10758,2
10764250,3,10764250,3
10787333,7,10787333,6
10809,14,10809,6
10811,3,10811,3
10835494,3,10835494,3
10850420,17,10850420,10
10855052,4,10855052,3
10857914,8,10857914,4
10881994,26,10881994,18
10882267,1,10882267,1
10883063,15,10883063,10
1090413,42,1090413,33
10905777,1,10905777,1
1092093,9,1092093,8
10928093,1,10928093,1
10945407,8,10945407,4
1094599,19,1094599,13
10964552,51,10964552,37
10995355,20,10995355,12
10995976,32,10995976,24
10997047,19,10997047,12
11008495,20,11008495,13
11016623,6,11016623,5
11020786,28,11020786,19
1102623,47,1102623,37
11035223,3,11035223,1
11041684,5,11041684,4
11061030,2,11061030,1
1106555,26,1106555,15
11067772,15,11067772,14
11082235,17,11082235,14
11087657,3,11087657,2
1109224,35,1109224,24
1110423,42,1110423,32
1112067,129,1112067,103
11120777,24,11120777,17
11121872,13,11121872,10
1112193,120,1112193,82
11122394,19,11122394,12
11126122,5,11126122,4
1113272,41,1113272,28
11147761,13,11147761,11
1115394,179,1115394,128
11159585,1,11159585,1
11169560,13,11169560,6
11201204,9,11201204,6
11202183,20,11202183,17
11211273,24,11211273,17
11220522,29,11220522,21
11223924,30,11223924,22
11229070,32,11229070,25
11240774,10,11240774,7
11255643,45,11255643,24
11258721,4,11258721,3
11275661,4,11275661,1
11275963,4,11275963,3
11276570,3,11276570,3
1128894,50,1128894,37
11295065,2,11295065,1
11300899,15,11300899,10
11304657,1,11304657,1
11306586,26,11306586,17
1131634,24,1131634,18
11333422,25,11333422,19
11334091,24,11334091,14
11343048,11,11343048,6
11343485,14,11343485,11
1136972,280,1136972,192
11370704,2,11370704,1
11371205,19,11371205,8
11376403,5,11376403,5
11397511,18,11397511,12
11397952,21,11397952,15
11398953,11,11398953,10
11410652,1,11410652,1
1141522,237,1141522,151
11418599,12,11418599,6
1141888,36,1141888,24
11431331,11,11431331,8
11441717,10,11441717,7
11454147,13,11454147,6
11454728,11,11454728,7
11455804,4,11455804,1
11462476,31,11462476,20
11470818,8,11470818,7
11474006,13,11474006,10
11474130,2,11474130,2
11474629,5,11474629,4
1147871,226,1147871,136
11492423,24,11492423,12
11494020,9,11494020,9
11498416,38,11498416,16
11498523,37,11498523,21
11498583,32,11498583,17
11514237,10,11514237,6
11521541,4,11521541,2
11528125,1,11528125,1
11530331,1,11530331,1
11553697,3,11553697,3
11569331,2,11569331,1
11572070,1,11572070,1
11579622,38,11579622,25
11583581,20,11583581,9
11584799,9,11584799,5
11585459,4,11585459,1
11588543,42,11588543,30
11589644,13,11589644,8
11590000,11,11590000,6
11590512,5,11590512,3
11592067,4,11592067,2
11592154,2,11592154,2
11593592,57,11593592,38
115936,7,115936,5
1161210,163,1161210,101
11618815,19,11618815,15
11624428,6,11624428,6
11626869,12,11626869,9
11634778,16,11634778,14
11648212,6,11648212,1
11648688,2,11648688,2
11653496,9,11653496,3
11656698,44,11656698,22
11662212,31,11662212,22
1166808,29,1166808,18
1167221,97,1167221,68
11686744,4,11686744,1
11687031,4,11687031,3
11687122,12,11687122,4
11688611,7,11688611,3
11695285,11,11695285,9
11701611,8,11701611,4
11710680,5,11710680,4
11714059,4,11714059,1
1171578,108,1171578,89
11717217,2,11717217,1
1173306,23,1173306,15
11734812,5,11734812,4
11735784,1,11735784,1
11739985,25,11739985,16
11740527,14,11740527,12
1174776,6,1174776,5
1175376,49,1175376,28
11757166,31,11757166,21
11757376,8,11757376,5
11758169,28,11758169,20
11760822,19,11760822,14
11767622,16,11767622,8
11772497,62,11772497,33
1178106,226,1178106,132
1178162,215,1178162,140
1178371,85,1178371,56
11787441,2,11787441,2
11788394,4,11788394,2
1179399,92,1179399,56
11796879,2,11796879,1
