101,11,11,2
101,11,12,5
102,12,13,1
102,12,14,1
102,12,15,1
102,12,16,1
102,12,17,1
103,14,19,1
104,11,11,2
104,11,12,5
105,13,18,1
106,12,13,1
106,12,14,1
106,12,15,1
106,12,16,1
106,12,17,1
107,14,19,1
108,13,18,1
109,11,11,2
109,11,12,5
110,14,19,1
111,13,18,1
112,12,13,1
112,12,14,1
112,12,15,1
112,12,16,1
113,12,13,1
113,12,14,1
113,12,15,1
113,12,16,1
113,12,17,1
114,11,11,2
114,11,12,5
115,14,19,1
116,14,19,1
117,14,19,1
118,13,18,1
119,11,11,2
119,11,12,5
120,12,13,1
120,12,14,1
120,12,15,1
120,12,16,1
120,12,17,1
121,12,13,1
121,12,14,1
121,12,15,1
121,12,16,1
121,12,17,1
122,14,19,1
123,14,19,1
124,11,11,2
124,11,12,5
125,13,18,1
