3353	34
5506	36
6695	47
6976	41
8792	18
9273	13
9765	9
9824	22
9855	3
9857	21
9858	1
9860	22
9870	6
10730	21
10758	2
10807	1
10809	14
10811	3
12356	9
12441	29
13059	13
13589	52
13592	15
18711	17
20000	271
21337	11
21891	21
22208	4
22212	23
22354	215
23619	127
24240	37
25142	9
25418	4
27141	4
27611	8
28150	21
29155	31
29765	90
31796	291
36885	125
38579	4
39116	46
40601	55
44205	76
45987	98
47521	241
48612	25
50032	15
52423	4
54215	5
54487	1
54944	7
56927	5
56937	10
57156	17
57800	193
59776	2
60029	112
60356	5
66288	404
67774	11
67946	1
68902	6
69369	83
70481	6
72811	123
76073	54
77681	21
77691	194
82637	16
91588	8
93505	166
95453	12
115936	7
118905	17
130552	2
160572	2
163941	138
164418	37
169430	105
169938	1
176006	88
177129	131
179244	81
179245	33
180914	2
182049	33
182613	50
189965	33
195515	1
196806	41
197146	20
197727	22
197972	230
200265	118
205894	125
210097	115
213086	22
217498	120
218259	5
220676	160
225224	184
225834	38
225979	70
228883	4
232990	55
238846	15
250345	22
250983	13
257588	132
276450	54
295285	19
311240	92
315982	84
321328	11
322593	192
332225	41
336946	68
336960	145
349347	55
369880	16
369940	19
377474	19
395975	13
400067	20
414419	312
442735	40
447826	198
453660	55
466361	48
472070	3
475259	3
496022	16
497810	135
508017	156
519272	9
526970	103
530983	19
531552	11
533114	8
533152	12
536865	185
543078	6
554720	108
561769	4
568234	132
570493	57
579605	10
583255	9
585148	31
586994	62
594693	23
619142	105
625012	123
627048	10
629814	8
639101	1
646087	1
650956	35
658029	65
667325	58
693353	17
697078	8
705900	25
705919	30
708802	221
713627	1
716245	86
716643	8
721979	7
728238	88
732932	18
732999	14
735970	3
737519	3
743211	49
749247	62
750438	91
753446	65
754845	17
766700	244
771309	1
777903	17
789843	2
798957	192
799701	2
801680	23
801722	14
815639	281
820073	46
826555	3
826706	7
831744	31
839265	16
848152	31
849408	33
851927	7
879929	43
890705	16
891661	190
891953	13
894539	40
915272	150
916123	281
932853	17
950046	6
951476	3
951480	1
957224	57
962610	33
965554	6
971393	11
973695	38
973840	42
979759	2
986399	4
989163	19
990668	96
994138	96
994317	4
1030500	14
1038465	163
1042420	52
1044307	1
1051482	29
1059604	26
1066742	32
1066767	17
1067184	53
1071144	1
1071235	152
1090413	42
1092093	9
1094599	19
1102623	47
1106555	26
1109224	35
1110423	42
1112067	129
1112193	120
1113272	41
1115394	179
1128894	50
1131634	24
1136972	280
1141522	237
1141888	36
1147871	226
1161210	163
1166808	29
1167221	97
1171578	108
1173306	23
1174776	6
1175376	49
1178106	226
1178162	215
1178371	85
1179399	92
1183032	19
1185034	16
1187188	17
1197857	63
1200502	34
1203014	60
1214214	1
1220971	43
1222327	2
1223050	39
1234740	9
1240598	76
1248870	17
1252289	78
1262443	3
1264217	12
1275498	15
1277618	5
1301500	13
1303261	19
1321422	194
1322461	75
1327725	132
1329627	2
1332786	108
1340290	9
1340649	8
1341072	41
1342370	52
1352776	3
1358531	3
1365335	9
1372816	6
1373520	70
1374434	23
1374466	25
1391215	111
1391492	71
1401625	4
1403408	12
1421610	6
1425973	12
1426711	13
1426754	73
1428355	62
1436513	1
1445064	73
1454258	163
1458081	27
1471308	72
1471373	73
1472481	231
1472520	231
1489289	39
1494726	9
1497879	320
1498719	11
1510876	23
1525494	80
1529321	109
1529393	7
1541166	16
1544702	222
1545185	31
1550047	60
1551205	40
1551467	5
1584362	232
1587540	26
1589392	1
1591827	117
1596470	9
1602491	26
1612842	8
1615033	236
1628130	1
1631942	18
1638584	3
1644031	35
1648950	81
1658983	46
1668313	17
1692573	92
1695275	252
1701741	8
1704090	67
1717816	2
1721016	3
