10004575,maxPrice=600, minPrice=300
10033322,maxPrice=342, minPrice=228
10033710,maxPrice=411, minPrice=228
10033715,maxPrice=509, minPrice=329
10034113,maxPrice=331, minPrice=331
10034614,maxPrice=537, minPrice=331
10034930,maxPrice=509, minPrice=329
10035581,maxPrice=509, minPrice=329
10036037,maxPrice=509, minPrice=329
10036192,maxPrice=449, minPrice=449
10037387,maxPrice=369, minPrice=189
10048789,maxPrice=329, minPrice=329
10051003,maxPrice=65, minPrice=65
10051649,maxPrice=571, minPrice=199
10051842,maxPrice=800, minPrice=571
10052037,maxPrice=571, minPrice=457
10056496,maxPrice=250, minPrice=250
10070404,maxPrice=314, minPrice=174
10074653,maxPrice=75, minPrice=75
10083878,maxPrice=189, minPrice=160
10084216,maxPrice=193, minPrice=190
10106081,maxPrice=180, minPrice=175
10113230,maxPrice=123, minPrice=123
10116095,maxPrice=115, minPrice=115
10116429,maxPrice=571, minPrice=239
10116601,maxPrice=434, minPrice=239
10116726,maxPrice=571, minPrice=239
10116914,maxPrice=571, minPrice=239
10117122,maxPrice=686, minPrice=354
10117329,maxPrice=434, minPrice=354
10117472,maxPrice=537, minPrice=354
10117803,maxPrice=686, minPrice=354
10118091,maxPrice=228, minPrice=228
10118379,maxPrice=228, minPrice=228
10118573,maxPrice=228, minPrice=129
10118716,maxPrice=445, minPrice=342
10118946,maxPrice=445, minPrice=342
10119075,maxPrice=342, minPrice=342
10119193,maxPrice=445, minPrice=342
10119327,maxPrice=434, minPrice=342
10127270,maxPrice=65, minPrice=45
10131503,maxPrice=399, minPrice=354
10132073,maxPrice=150, minPrice=150
10136854,maxPrice=686, minPrice=457
10138904,maxPrice=309, minPrice=249
10148425,maxPrice=195, minPrice=185
10149314,maxPrice=319, minPrice=285
10152056,maxPrice=296, minPrice=228
10153536,maxPrice=571, minPrice=457
10153739,maxPrice=571, minPrice=457
10164759,maxPrice=139, minPrice=115
10164810,maxPrice=279, minPrice=115
10175033,maxPrice=200, minPrice=200
10185646,maxPrice=179, minPrice=179
10190260,maxPrice=60, minPrice=60
10211649,maxPrice=150, minPrice=120
10227043,maxPrice=350, minPrice=325
10228228,maxPrice=445, minPrice=216
10228457,maxPrice=230, minPrice=200
10228764,maxPrice=686, minPrice=457
10229333,maxPrice=216, minPrice=216
10233104,maxPrice=90, minPrice=60
10234895,maxPrice=55, minPrice=55
10249798,maxPrice=68, minPrice=68
10253591,maxPrice=118, minPrice=105
10253899,maxPrice=275, minPrice=275
10261620,maxPrice=228, minPrice=228
10262069,maxPrice=331, minPrice=331
10264774,maxPrice=299, minPrice=179
10266397,maxPrice=309, minPrice=115
10266928,maxPrice=139, minPrice=115
10279083,maxPrice=80, minPrice=80
10293480,maxPrice=299, minPrice=259
10295349,maxPrice=70, minPrice=70
10299047,maxPrice=175, minPrice=150
1030500,maxPrice=100, minPrice=100
10311094,maxPrice=399, minPrice=279
10328539,maxPrice=70, minPrice=60
10333345,maxPrice=80, minPrice=80
10356880,maxPrice=85, minPrice=80
10379031,maxPrice=315, minPrice=274
10381729,maxPrice=44, minPrice=44
1038465,maxPrice=135, minPrice=135
10391455,maxPrice=75, minPrice=65
10411383,maxPrice=250, minPrice=250
1042420,maxPrice=112, minPrice=112
10427199,maxPrice=89, minPrice=89
10427882,maxPrice=159, minPrice=115
10434883,maxPrice=179, minPrice=109
1044307,maxPrice=275, minPrice=192
10454061,maxPrice=129, minPrice=109
10470115,maxPrice=259, minPrice=135
1051482,maxPrice=275, minPrice=275
10524612,maxPrice=229, minPrice=134
10537553,maxPrice=40, minPrice=40
10542140,maxPrice=350, minPrice=299
10552237,maxPrice=150, minPrice=150
10552485,maxPrice=260, minPrice=260
10567830,maxPrice=500, minPrice=500
10569282,maxPrice=265, minPrice=249
10594800,maxPrice=50, minPrice=50
1059604,maxPrice=275, minPrice=275
10607657,maxPrice=153, minPrice=150
10611728,maxPrice=434, minPrice=239
10627514,maxPrice=70, minPrice=70
10634364,maxPrice=149, minPrice=149
10653150,maxPrice=245, minPrice=125
10656206,maxPrice=350, minPrice=200
1066742,maxPrice=200, minPrice=200
1066767,maxPrice=275, minPrice=275
10671192,maxPrice=175, minPrice=175
1067184,maxPrice=95, minPrice=73
10701625,maxPrice=249, minPrice=120
10705351,maxPrice=150, minPrice=125
1071144,maxPrice=269, minPrice=180
1071235,maxPrice=150, minPrice=135
10730,maxPrice=150, minPrice=150
10734159,maxPrice=188, minPrice=188
10742655,maxPrice=70, minPrice=70
10747524,maxPrice=79, minPrice=79
10749312,maxPrice=199, minPrice=199
10764250,maxPrice=99, minPrice=84
1077105,maxPrice=176, minPrice=176
10787333,maxPrice=134, minPrice=134
10811,maxPrice=165, minPrice=150
10835494,maxPrice=179, minPrice=175
10836881,maxPrice=80, minPrice=80
10857914,maxPrice=650, minPrice=650
10859498,maxPrice=349, minPrice=189
